 NO,BULAN,TGL BAGI WO,NAMA PELANGGAN,STO,KETERANGAN,MITRA, SEGMEN,PAKET,AREA
5,MARET,03/03/2024,Warung Mama Anggun,KBI,a. PS,GTM,DBS,75MBPS,PRINGSEWU
15,MARET,04/03/2024,PT BPR SYARIAH WAY KANAN (PERSERODA),BKM,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
16,MARET,04/03/2024,SD MUHAMMADIYAH PRINGSEWU,PRW,a. PS,BTO,DBS,150 MBPS,PRINGSEWU
17,MARET,04/03/2024,PUSKESMAS MADUKORO,KBI,a. PS,GTM,DBS,100MBPS,PRINGSEWU
3,MARET,04/03/2024,KOMINFO LAMSEL RUANG KADIS BARU  ,KLA,e. CANCEL,KPU,DGS,50 MBPS,INNER
1,MARET,16/03/2024,PT FALUTRA JAYA ABADI DIR TOZIEN,TJK,a. PS,KPU,DBS,50 MBPS,INNER
6,MARET,03/03/2024,TOKO YUNUS,PRW,KENDALA BUTUH PT2NS/PT3,BTO,DBS,100 MBPS,PRINGSEWU
4,MARET,05/03/2024,CV SINAR SUKMA WIJAYA ,KDT,a. PS,STN,DBS,200 MBPS,INNER
4,MARET,04/03/2024,PMJ POLDA LAMPUNG,KDT,f. CP RNA ,STN,DGS,50 MBPS,INNER
3,MARET,05/03/2024,CV SINAR SUKMA WIJAYA,KDT,a. PS,STN,DBS,200 MBPS,INNER
8,MARET,05/03/2024,SMP NURUL IMAN KAHURIPAN JAYA,UNT,a. PS,TA,DBS,300 MBPS,METRO
9,MARET,05/03/2024,SMPIT WAHDATUL UMMAH,MET,a. PS,GTM,DBS,200 MBPS,METRO
10,MARET,05/03/2024,APOTEK OKSA FARMA 2,MGA,a. PS,BTO,DBS,100 MBPS,METRO
14,MARET,05/03/2024,FFQ GLOW,KRU,a. PS,GTM,DBS,30MBPS,PRINGSEWU
15,MARET,05/03/2024,CV. ANUGERAH PUTRA MANDIRI,KLR,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
16,MARET,05/03/2024,KLINIK PRATAMA ABUNG KOTO MEDICAL  ,KOT,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
2,MARET,08/03/2024,THE CLANS ,TJK,a. PS,KPU,DBS,50 MBPS,INNER
1,MARET,08/03/2024,PT BINTANG SUMATERA EXPRESS  ,KDT,a. PS,STN,DES,50 MBPS,INNER
1,JULI,01/07/2024,PT KELUARGA HASAN ABADI (RUANG PENDAFTARAN),SRW,a. PS,BTO,DBS,50MBPS,INNER
1,MARET,06/03/2024,BPN METRO QQ DWI RATIH,TJK,a. PS,KPU,DGS,30 MBPS,INNER
18,MARET,05/03/2024,BCN PHOTO COPY,PRW,e. CANCEL,BTO,DBS,100 MBPS,PRINGSEWU
1,MARET,06/03/2024,CV SINAR SUKMA WIJAYA,TJK,a. PS,KPU,DBS,50 MBPS,INNER
12,MARET,05/03/2024,UPTD PENGELOLAAN PASAR KOTA METRO,MET,e. CANCEL,BTO,DBS,100 MBPS,METRO
4,MARET,06/03/2024,BERKAH JAYA COMPUTER,MET,a. PS,GTM,DBS,75 MBPS,METRO
5,MARET,06/03/2024,PT PUTRA LAMPUNG SEJAHTERA,BDA,a. PS,BTO,DBS,300 MBPS,METRO
6,MARET,06/03/2024,MTS MAARIF NU 5 SEKAMPUNG ,MET,a. PS,GTM,DBS,50 MBPS,METRO
14,MARET,06/03/2024,fotocopy setia,PRW,a. PS,BTO,DBS,100 MBPS,PRINGSEWU
2,MARET,08/03/2024,DINSOS PROV LPG - MAKAM PAHLAWAN   ,KDT,a. PS,STN,DGS,50 MBPS,INNER
3,MARET,08/03/2024,PT.SIAB,TJK,a. PS,KPU,DGS,50 MBPS,INNER
4,MARET,08/03/2024,KIMIA FARMA,KDT,a. PS,STN,DES,50 MBPS,INNER
5,MARET,08/03/2024,KIMIA FARMA,KDT,a. PS,STN,DES,50 MBPS,INNER
3,MARET,08/03/2024,TOKO BAJU MERISA,KDT,a. PS,BTO,DBS,50 MBPS,INNER
6,MARET,08/03/2024,KIMIA FARMA ,TJK,a. PS,KPU,DES,50 MBPS,INNER
1,MARET,09/03/2024,KIMIA FARMA,TJK,a. PS,KPU,DES,50 MBPS,INNER
8,MARET,06/03/2024,TERAS BRI UNIT DIPONEGORO-2,MET,e. CANCEL,GTM,DBS,75 MBPS,METRO
