 NO,BULAN,TGL BAGI WO,NAMA PELANGGAN,STO,KETERANGAN,MITRA, SEGMEN,PAKET,AREA
8,MARET,20/03/2024,PT. HANEL PUTRA TELEKOMUNIKASI  ,PJN,a. PS,KPU,DBS,50 MBPS,INNER
1,MARET,21/03/2024,WARTEG BUMI BAHARI,LKP,a. PS,SIM,DBS,50 MBPS,INNER
10,MARET,20/03/2024,Unit Bank BRI / M fachri ardan  ,LAM,e. CANCEL,BTO,DBS,50 MBPS,METRO
8,MARET,21/03/2024,PUSKESMAS BANJARSARI,MET,a. PS,BTO,DBS,50 MBPS,METRO
9,MARET,21/03/2024,SRC MEGA,WJA,a. PS,BTO,DBS,100 MBPS,METRO
14,MARET,21/03/2024,BALAI PEKON MENYANCANG,KRU,a. PS,GTM,DBS,100 MBPS,PRINGSEWU
15,MARET,21/03/2024,PT BINTANG SUMATERA EXPRESS  ,KOT,a. PS,BTO,DES,50 MBPS,PRINGSEWU
16,MARET,21/03/2024,TOKO PRAMUKA,KLR,a. PS,BTO,DBS,150 MBPS,PRINGSEWU
17,MARET,21/03/2024,TUNAS DWIPA MATRA,KBI,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
1,MARET,22/03/2024,SMK NEGERI 2 BANDAR LAMPUNG,KDT,a. PS,BTO,DBS,300 MBPS,INNER
4,MARET,27/03/2024,JOVANIA KIDS,BDA,a. PS,BTO,DBS,30 MBPS,METRO
3,MARET,22/03/2024,PT. Artacomindo Jejaring Nusa_L783 -ONTA FRC,KDT,a. PS,STN,DBS,30 MBPS,INNER
19,MARET,22/03/2024,KIMIA FARMA  ,KDT,a. PS,STN,DSS,50 MBPS,INNER
1,MARET,30/03/2024,RUMDIN PPK UNILA - HIKMAH SAIFUDDIN  ,TJK,a. PS,KPU,DES,50 MBPS,INNER
1,APRIL,01/04/2024,SMP NEGERI 31 BANDAR LAMPUNG,KDT,a. PS,STN,DBS,50 MBPS,INNER
13,MARET,21/03/2024,Bebek Belur Bandarjaya,BDA,KENDALA BUTUH PT2NS/PT3,BTO,DBS,50 MBPS,METRO
11,MARET,21/03/2024,AM ASSOYY MOTOR ,LAM,KENDALA BUTUH PT2NS/PT3,BTO,DBS,50 MBPS,METRO
8,MARET,22/03/2024,BALAI KAMPUNG DWI WARGA TUNGGAL JAYA,UNT,a. PS,TA,DBS,300 MBPS,METRO
2,APRIL,01/04/2024,SMP NEGERI 31 BANDAR LAMPUNG,KDT,a. PS,STN,DBS,50 MBPS,INNER
3,APRIL,01/04/2024,PT BPR DANA SELARAS SENTOSA,TJK,a. PS,KPU,DBS,75 MBPS,INNER
5,MARET,27/03/2024,SMP N 2 BANJAR MARGO,UNT,a. PS,TA,DBS,50MBPS,METRO
9,MARET,22/03/2024,CV. MORA MULTIMEDIA INDONESIA,UNT,a. PS,TA,DBS,300 MBPS,METRO
13,MARET,22/03/2024,SMK NEGERI 1 KRUI,KRU,a. PS,GTM,DBS,150 MBPS,PRINGSEWU
14,MARET,22/03/2024,BAGIAN UMUM 2,PRW,a. PS,BTO,DGS,50 MBPS,PRINGSEWU
9,MARET,22/03/2024,FITRIANONA BEAUTY qq M. Hidayatullah,MET,e. CANCEL,BTO,DBS,50 MBPS,METRO
2,MARET,31/03/2024,TOKO ANJAYA,BDA,a. PS,BTO,DBS,30 MBPS,METRO
1,MARET,23/03/2024, ALKHA CELL ,KLA,a. PS,KPU,DBS,300 MBPS,INNER
1,MEI,17/05/2024,PT ARIVINDO TECH LESTARI,SRW,a. PS,STN,DBS,50MBPS,INNER
17,MARET,22/03/2024,MORO SENENG,PRW,KENDALA BUTUH PT2NS/PT3,BTO,DBS,100 MBPS,PRINGSEWU
2,MARET,23/03/2024,SMKN 1 BANDAR LAMPUNG,KDT,a. PS,BTO,DBS,300 MBPS,INNER
2,MARET,24/03/2024,TOKO RAYHAN,PRW,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
4,MARET,26/03/2024,PT. Artacomindo Jejaring Nusa_L785-YOS SUDARSO BARU,TJK,e. CANCEL,KPU,DBS,30 MBPS,INNER
9,APRIL,01/04/2024,SDN 10 METRO TIMUR ,MET,a. PS,GTM,DBS,75 MBPS,METRO
5,MARET,23/03/2024,Unit Bank BRI / M fachri ardan,SPS,KENDALA BUTUH PT2NS/PT3,KPU,DBS,50 MBPS,INNER
12,MARET,25/03/2024,RUMAH DINAS KEJAKSAAN NEGERI TULANG BAWANG,MGA,a. PS,BTO,DBS,75MBPS,METRO
6,MARET,23/03/2024,SRC PIPI ,LAM,a. PS,BTO,DBS,50 MBPS,METRO
7,MARET,23/03/2024,AYUNDIADRESS.STORE,MET,a. PS,BTO,DBS,300 MBPS,METRO
5,MARET,26/03/2024,WARUNG NAWANG,LAM,a. PS,BTO,DBS,100MBPS,METRO
6,MARET,26/03/2024,SLB INSAN MADANI METRO,MET,a. PS,GTM,DBS,300 MBPS,METRO
10,MARET,23/03/2024,PEKON PUJIHARJO,PRW,a. PS,BTO,DBS,150 MBPS,PRINGSEWU
11,MARET,23/03/2024,KANTOR INSPEKTORAT 2,KBI,a. PS,GTM,DBS,300 MBPS,PRINGSEWU
12,MARET,23/03/2024,KANTOR INSPEKTORAT 3,KBI,a. PS,GTM,DBS,300 MBPS,PRINGSEWU
13,MARET,23/03/2024,SMKS MUHAMMADIYAH 1 KOTA AGUNG,KOT,a. PS,BTO,DBS,300 MBPS,PRINGSEWU
14,MARET,23/03/2024,KANTOR INSPEKTORAT 1,KBI,a. PS,GTM,DBS,300 MBPS,PRINGSEWU
15,MARET,23/03/2024,SARACENS,KOT,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
2,MARET,30/03/2024,PT NUSANTARA EKSPRES KILAT,PJN,a. PS,GTM,DBS,50 MBPS,INNER
6,MARET,29/03/2024,PU TUBA PENGAIRAN,MGA,a. PS,BTO,DGS,300 MBPS,METRO
10,MARET,24/03/2024,MESS PEGAWAI BALAI TEKNIK PERKERETAAPIAN KELAS II PALEMBANG,KDT,e. CANCEL,STN,DBS,50 MBPS,INNER
7,MARET,26/03/2024,SD NEGERI 1 METRO PUSAT,MET,a. PS,GTM,DBS,150 MBPS,METRO
8,MARET,26/03/2024,BERKAH_FASHION11,MGA,a. PS,BTO,DBS,50 MBPS,METRO
10,MARET,26/03/2024,BSI KCP SRIBHAWONO,LAM,a. PS,BTO,DBS,100 MBPS,METRO
13,MARET,25/03/2024,DISPERKIM CIPTARU,KBI,a. PS,GTM,DBS,150 MBPS,PRINGSEWU
14,MARET,25/03/2024,PANGLONG KAYU ARI,KRU,a. PS,GTM,DBS,100MBPS,PRINGSEWU
2,MEI,17/05/2024,CV Shereen citra makmur,TKB,a. PS,KPU,DBS,50MBPS,INNER
6,MARET,24/03/2024,PT SPIDENET JAYA CENTER,KOT,KENDALA BUTUH PT2NS/PT3,BTO,DBS,50MBPS,PRINGSEWU
15,MARET,25/03/2024,SARPRAS Polres Pesawaran,GDT,a. PS,BTO,DGS,50MBPS,PRINGSEWU
16,MARET,25/03/2024,KEPALA BAGIAN UMUM,PRW,a. PS,BTO,DGS,100 MBPS,PRINGSEWU
7,MARET,27/03/2024,PT Sinar Mustika Jaya,PRW,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
17,MARET,25/03/2024,JAVANT mart,GDT,a. PS,BTO,DBS,200 MBPS,PRINGSEWU
1,APRIL,16/04/2024,SMPN 1 BANDAR LAMPUNG,TJK,a. PS,KPU,DBS,300 MBPS,INNER
15,APRIL,01/04/2024,Tukang Gigi Bandung,PRW,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
1,APRIL,03/04/2024,KLINIK PRATAMA & BERSALIN WEDE ARRACHMAN,TJK,a. PS,KPU,DBS,50 MBPS,INNER
16,APRIL,01/04/2024,KANTOR KELURÀHAN KOTABUMI ILIR,KBI,a. PS,GTM,DBS,50 MBPS,PRINGSEWU
6,APRIL,01/04/2024,ACE LAMPUNG B.KDATON,KDT,e. CANCEL,STN,DBS,50 MBPS,INNER
2,APRIL,03/04/2024,SD NEGERI 2 SUKABUMI,KDT,a. PS,STN,DBS,50 MBPS,INNER
1,APRIL,02/04/2024,Rumah Makan Satiqal,NTR,a. PS,BTO,DBS,50 MBPS,INNER
2,APRIL,02/04/2024,MIN 1 LAMPUNG SELATAN,KLA,a. PS,KPU,DBS,100 MBPS,INNER
3,APRIL,02/04/2024,SMP NEGERI 31 BANDAR LAMPUNG,KDT,a. PS,STN,DBS,50 MBPS,INNER
4,APRIL,02/04/2024,CV ANUGERAH DUA MUDA,SRW,a. PS,STN,DBS,50 MBPS,INNER
12,APRIL,01/04/2024,BENGKEL SUMBER WARAS RACING,BDA,BUTUH PT4,BTO,DBS,50 MBPS,METRO
13,APRIL,01/04/2024,SMP NEGERI 2 BUMI RATU NUBAN  ,BDA,KENDALA BUTUH PT2NS/PT3,BTO,DBS,300 MBPS,METRO
5,APRIL,02/04/2024,RAJA PANCAKE ,TKB,a. PS,GTM,DBS,50 MBPS,INNER
7,APRIL,02/04/2024,PT. AMARTHA MANUNGGAL PRIMA  ,TJK,a. PS,KPU,DBS,50 MBPS,INNER
6,APRIL,02/04/2024,PT BINTANG SUMATERA EXPRESS QQ TRY MANDALA,KDT,a. PS,STN,DES,30 MBPS,INNER
10,APRIL,02/04/2024,WARUNG RESTU IBU,BDA,a. PS,BTO,DBS,30 MBPS,METRO
11,APRIL,02/04/2024,JUAL IKAN TAWAR & LAUT,MET,a. PS,GTM,DBS,75 MBPS,METRO
12,APRIL,02/04/2024,UPTD PUSKESMAS PEKALONGAN LAMPUNG TIMUR,MET,a. PS,GTM,DBS,50 MBPS,METRO
13,APRIL,02/04/2024,UPTD PUSKESMAS KARANGREJO,MET,a. PS,GTM,DBS,75 MBPS,METRO
14,APRIL,02/04/2024,KANTOR KECAMATAN MENGGALA   ,MGA,a. PS,BTO,DBS,50 MBPS,METRO
15,APRIL,02/04/2024,SMP NEGERI 1 TRIMURJO,MET,a. PS,GTM,DBS,200 MBPS,METRO
16,APRIL,02/04/2024,kost Ayra,PRW,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
17,APRIL,02/04/2024,Rumah Dinas Kanim Kotabumi,KBI,a. PS,GTM,DBS,50 MBPS,PRINGSEWU
5,APRIL,03/04/2024,PT. INDI MITRA INOVASI,MET,a. PS,GTM,DBS,50 MBPS,METRO
12,APRIL,03/04/2024,PKBM RONAA METRO  ,MET,a. PS,GTM,DBS,50 MBPS,METRO
7,APRIL,03/04/2024,TOKO RAFFLESIA COLLECTION,KRU,a. PS,GTM,DBS,50 MBPS,PRINGSEWU
8,APRIL,03/04/2024,SD MUHAMMADIYAH WARINGINSARI,PRW,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
9,APRIL,03/04/2024,UPTD PUSKESMAS PAGELARAN,PRW,a. PS,BTO,DBS,150 MBPS,PRINGSEWU
10,APRIL,03/04/2024,RSIA Mutiara Hati,PRW,a. PS,BTO,DBS,200 MBPS,PRINGSEWU
11,APRIL,03/04/2024,Pendowo Cell,KLR,a. PS,BTO,DBS,150 MBPS,PRINGSEWU
1,APRIL,06/04/2024,Cafe & Nyodok Biliard,KDT,a. PS,STN,DBS,50 MBPS,INNER
5,APRIL,04/04/2024,Pos Pelayanan Ops Ketupat ,BDA,a. PS,BTO,DBS,50 MBPS,METRO
8,APRIL,04/04/2024,Kalipasir Store,KBI,a. PS,GTM,DBS,75 MBPS,PRINGSEWU
9,APRIL,04/04/2024,Polres Lamut QQ Pospel Kelapa Tujuh,KBI,a. PS,GTM,DBS,50 MBPS,PRINGSEWU
1,APRIL,05/04/2024,PT CAKRAWALA NUSA MUDA  ,SPS,a. PS,KPU,DBS,100 MBPS,INNER
2,APRIL,06/04/2024,PT KRAKATAU LAMPUNG TOURISM DEVELOPMENT,KLA,a. PS,KPU,DBS,100 MBPS,INNER
3,APRIL,04/04/2024,Richeese Kuliner Indonesia,KDT,f. CP RNA ,STN,DES,50 MBPS,INNER
4,APRIL,04/04/2024,PT MARGI PERKASA UTAMA,TJK,KENDALA BUTUH PT2NS/PT3,KPU,DBS,50 MBPS,INNER
2,JULI,01/07/2024,PT KELUARGA HASAN ABADI (RUANG PENDAFTARAN),SRW,a. PS,BTO,DBS,50MBPS,INNER
4,APRIL,05/04/2024,RUMDIN PEMDA,MGA,a. PS,BTO,DGS,30 MBPS,METRO
5,APRIL,05/04/2024,PASAR UNIT 2 (BANK MANDIRI DAN DINAS PERDAGANGAN KAB TULANG BAWANG) - 1,UNT,a. PS,TA,DBS,150 MBPS,METRO
6,APRIL,05/04/2024,PASAR UNIT 2 (BANK MANDIRI DAN DINAS PERDAGANGAN KAB TULANG BAWANG) - 2,UNT,a. PS,TA,DBS,150 MBPS,METRO
7,APRIL,05/04/2024,PASAR UNIT 2 (BANK MANDIRI DAN DINAS PERDAGANGAN KAB TULANG BAWANG) - 3,UNT,a. PS,TA,DBS,150 MBPS,METRO
3,APRIL,06/04/2024,Toko Jaya Abadi,UNT,a. PS,TA,DBS,50 MBPS,METRO
9,APRIL,05/04/2024,KANTOR KELURAHAN SRIBASUKI   ,KBI,a. PS,GTM,DBS,50 MBPS,PRINGSEWU
10,APRIL,05/04/2024,PT. HANEL PUTRA TELEKOMUNIKASI,BDU,e. CANCEL,BTO,DBS,50 MBPS,PRINGSEWU
1,APRIL,18/04/2024,SMPN 17 BANDAR LAMPUNG,TJK,a. PS,KPU,DBS,200 MBPS,INNER
2,APRIL,16/04/2024,Ken Chicken,TJK,a. PS,KPU,DBS,50 MBPS,INNER
12,APRIL,05/04/2024,SMP TAHFIDZ UNGGULAN SAILA,KBI,KENDALA BUTUH PT2NS/PT3,GTM,DBS,50 MBPS,PRINGSEWU
8,APRIL,06/04/2024,JnM Family Karauke,UNT,a. PS,TA,DBS,300MBPS,METRO
5,APRIL,06/04/2024,SD NEGERI 3 WAYLIMA,GDT,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
4,APRIL,06/04/2024,SMK NEGERI SUKOHARJO,PRW,a. PS,BTO,DBS,300MBPS,PRINGSEWU
6,APRIL,06/04/2024,Polres Lamut QQ Pospam Simpang Propau,KBI,a. PS,GTM,DBS,50 MBPS,PRINGSEWU
2,APRIL,07/04/2024,Eka Fajar Collection,UNT,a. PS,TA,DBS,200 MBPS,METRO
4,APRIL,07/04/2024,TOKO RESTU IBU,KBI,a. PS,GTM,DBS,50 MBPS,PRINGSEWU
1,APRIL,08/04/2024,KANTOR DESA SUKAJAYA,SPS,a. PS,KPU,DBS,50 MBPS,INNER
2,APRIL,08/04/2024,YAYASAN PENDIDIKAN PONPES BAHARI AL ISLAM,MGA,a. PS,TA,DBS,100 MBPS,METRO
3,APRIL,08/04/2024,KLINIK MMC MENGGALA,MGA,a. PS,TA,DBS,50 MBPS,METRO
4,APRIL,08/04/2024,AGEN BRILINK WASTIYO,MET,a. PS,GTM,DBS,50 MBPS,METRO
5,APRIL,08/04/2024,RM MAK ATIK,UNT,a. PS,TA,DBS,300MBPS,METRO
6,APRIL,08/04/2024,CHILLEN CAFE,PRW,a. PS,BTO,DBS,300MBPS,PRINGSEWU
7,APRIL,08/04/2024,TOKO MAMA ISMO,KLR,a. PS,BTO,DBS,150 MBPS,PRINGSEWU
1,APRIL,09/04/2024,CV BUANA KANAYA ,PRW,a. PS,BTO,DBS,200 MBPS,PRINGSEWU
1,APRIL,12/04/2024,OMAH SABLON,WJA,a. PS,BTO,DBS,100MBPS,METRO
8,APRIL,16/04/2024,KANTOR KECAMATAN KOTABUMI,KBI,a. PS,GTM,DBS,100 MBPS,PRINGSEWU
9,APRIL,16/04/2024,LINDA CELL KRUI,KRU,a. PS,GTM,DBS,50 MBPS,PRINGSEWU
2,APRIL,18/04/2024,SMKN 9 BANDAR LAMPUNG,TJK,a. PS,KPU,DBS,200 MBPS,INNER
3,APRIL,12/04/2024,TOKO RESTU IBU,KBI,e. CANCEL,GTM,DBS,75MBPS,PRINGSEWU
1,APRIL,30/04/2024,PTSP LAMSEL QQ PAK HERI  ,KDT,e. CANCEL,STN,DGS,30 MBPS,INNER
10,APRIL,16/04/2024,cv sari tani makmur,PRW,a. PS,BTO,DBS,200 MBPS,PRINGSEWU
11,APRIL,16/04/2024,JUNGLE SURF,KRU,a. PS,GTM,DBS,50 MBPS,PRINGSEWU
1,APRIL,20/04/2024,PT PASAR LEBAK BUDI,TJK,a. PS,KPU,DBS,50MBPS,INNER
1,APRIL,19/04/2024,Toko Sepeda Listrik Goda Panjang,PJN,a. PS,GTM,DBS,50 MBPS,INNER
2,APRIL,22/04/2024,BPRS KOTABUMI CAB BANDAR LAMPUNG,KDT,a. PS,STN,DBS,100MBPS,INNER
1,APRIL,17/04/2024,SMPN 9 BANDAR LAMPUNG,TJK,a. PS,KPU,DBS,300 MBPS,INNER
2,APRIL,17/04/2024,SMPN 4 BANDAR LAMPUNG,TJK,a. PS,KPU,DBS,300 MBPS,INNER
3,APRIL,17/04/2024,SMPN 13 BANDAR LAMPUNG,LKP,a. PS,SIM,DBS,300 MBPS,INNER
6,APRIL,17/04/2024,SMPN 12 BANDAR LAMPUNG,TJK,a. PS,KPU,DBS,200 MBPS,INNER
8,APRIL,17/04/2024,PT Medion Ardhika Bhakti ,MET,a. PS,GTM,DBS,50 MBPS,METRO
9,APRIL,17/04/2024,PEKON MARGODADI,PRW,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
3,APRIL,18/04/2024,SMKN 9 BANDAR LAMPUNG,TJK,a. PS,KPU,DBS,200 MBPS,INNER
4,APRIL,18/04/2024,SMPN 14 BANDAR LAMPUNG,LKP,a. PS,SIM,DBS,200 MBPS,INNER
5,APRIL,18/04/2024,Rupbasan Kelas I Bandar Lampung,KDT,a. PS,STN,DBS,50MBPS,INNER
6,APRIL,18/04/2024,BPKAD KOTA BANDAR LAMPUNG,TKB,a. PS,GTM,DGS,50MBPS,INNER
7,APRIL,18/04/2024,kost ria putra putri,KDT,a. PS,STN,DBS,50MBPS,INNER
9,APRIL,18/04/2024,TRI SAKTI PURWOSARI MAKMUR  ,MET,a. PS,BTO,DBS,50MBPS,METRO
10,APRIL,18/04/2024,SD NEGERI 11 METRO PUSAT,MET,a. PS,GTM,DBS,75 MBPS,METRO
15,APRIL,18/04/2024,KANTOR KELURAHAN REJOSARI ,KBI,a. PS,GTM,DBS,50 MBPS,PRINGSEWU
16,APRIL,18/04/2024,Rumah makan mandiri,BKM,a. PS,BTO,DBS,100 MBPS,PRINGSEWU
17,APRIL,18/04/2024,KOST BIRU GHOLIB,PRW,a. PS,BTO,DBS,50MBPS,PRINGSEWU
2,APRIL,20/04/2024,Kantor PKK Lempasing,TJK,a. PS,KPU,DBS,150 MBPS,INNER
2,APRIL,19/04/2024,KOST HOME STK,TJK,a. PS,KPU,DBS,50 MBPS,INNER
4,APRIL,22/04/2024,PT. MOLADIN FINANCE INDONESIA  ,MET,a. PS,GTM,DBS,50MBPS,METRO
13,APRIL,18/04/2024,PT. SAMPAI JAYA SENTOSA,MET,KENDALA BUTUH PT2NS/PT3,GTM,DBS,100 MBPA,METRO
14,APRIL,18/04/2024,TOKO SEMBAKO GILANG,BDA,KENDALA BUTUH PT2NS/PT3,BTO,DBS,50MBPS,METRO
1,APRIL,23/04/2024,MAYORA INDAH,SRW,a. PS,STN,DGS,50MBPS,INNER
6,APRIL,19/04/2024,SMKN 1 WAY TENONG ,BKM,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
7,APRIL,19/04/2024,BPRS KOTABUMI CAB KAS PEMDA LAMPUNG UTARA,KBI,a. PS,GTM,DBS,100 MBPS,PRINGSEWU
12,APRIL,19/04/2024,Warung Pak Eko,MGA,a. PS,TA,DBS,50 MBPS,PRINGSEWU
3,APRIL,20/04/2024,KANTOR BALAI DESA KAMPUNG BARU,SPS,e. CANCEL,KPU,DBS,50MBPS,INNER
5,APRIL,22/04/2024,BPRS KOTABUMI CAB TBB,MGA,a. PS,BTO,DBS,100 MBPS,METRO
7,APRIL,22/04/2024,KEJAKSAAN NEGERI TULANG BAWANG BARAT ,MGA,a. PS,BTO,DBS,100 MBPS,METRO
8,APRIL,22/04/2024,BANYU KANGEN,MET,a. PS,BTO,DBS,50 MBPS,METRO
6,APRIL,22/04/2024,CHIKA FASHION GROSIR DAN ECERAN,UNT,a. PS,TA,DBS,50MBPS,METRO
4,APRIL,20/04/2024,ISTANA MOTOR,BDA,a. PS,GTM,DBS,100 MBPS,METRO
5,APRIL,20/04/2024,ALZ ID METRO,MET,a. PS,GTM,DBS,75 MBPS,METRO
11,APRIL,22/04/2024,KANTOR KELURAHAN KOTA GAPURA,KBI,a. PS,GTM,DBS,50MBPS,PRINGSEWU
3,APRIL,21/04/2024,PT. SUMBER SARILAUT PERKASA,TJK,a. PS,KPU,DBS,100MBPS,INNER
1,APRIL,21/04/2024,Pondok Pesantren AL-FALAH,MGA,a. PS,TA,DBS,50MBPS,METRO
9,APRIL,20/04/2024,BPRS KOTABUMI HO,KBI,a. PS,GTM,DBS,300 MBPS,PRINGSEWU
10,APRIL,20/04/2024,Zas Collection,PRW,a. PS,BTO,DBS,50MBPS,PRINGSEWU
12,APRIL,22/04/2024,BPRS KOTABUMI CAB PRINGSEWU,PRW,a. PS,BTO,DBS,100 MBPS,PRINGSEWU
2,APRIL,21/04/2024,KANTOR BANK BRI MUARA GADING MAS,LAM,a. PS,BTO,DBS,100MBPS,METRO
13,APRIL,22/04/2024,BPRS KOTABUMI CAB KAS BUKIT KEMUNING,BKM,a. PS,BTO,DBS,100 MBPS,PRINGSEWU
14,APRIL,22/04/2024,PERCETAKAN CIPTA ARIEF,KOT,a. PS,BTO,DBS,300 MBPS,PRINGSEWU
2,APRIL,23/04/2024,Assa tour umroh,KDT,a. PS,BTO,DBS,50MBPS,INNER
3,APRIL,22/04/2024,PN KALIANDA QQ DARMA,KLA,KENDALA BUTUH PT2NS/PT3,KPU,DGS,30MBPS,INNER
7,APRIL,23/04/2024,PT BENINGS GLOW INDONESIA,MET,a. PS,GTM,DBS,150 MBPS,METRO
4,APRIL,17/04/2024,YONAIS CATERING,MET,a. PS,GTM,DBS,150 MBPS,METRO
6,APRIL,23/04/2024,SMK DARUNNAJAH WAY JEPARA,WJA,a. PS,BTO,DBS,150 MBPS,METRO
2,APRIL,24/04/2024,AL HASAN CELL,KLA,a. PS,KPU,DBS,50MBPS,INNER
3,APRIL,24/04/2024,SMA NEGERI 5 BANDAR LAMPUNG,KDT,a. PS,STN,DBS,50MBPS,INNER
4,APRIL,24/04/2024,MANDALA MULTIFINACE,TJK,a. PS,KPU,DES,50MBPS,INNER
5,APRIL,24/04/2024,WISMA AGUNG ANGGREK,KDT,a. PS,BTO,DBS,50MBPS,INNER
6,APRIL,24/04/2024,PT Rejeki Damai Abadi Cabang Metro,KDT,a. PS,BTO,DBS,100MBPS,INNER
10,APRIL,24/04/2024,SEKRETARIAT DINAS SDA LAMTENG,BDA,a. PS,GTM,DBS,100MBPS,METRO
11,APRIL,24/04/2024,BADAN PUSAT STATISTIK MESUJI  ,UNT,a. PS,TA,DBS,200 MBPS,METRO
6,JULI,13/07/2024,MR POWDER,MET,KENDALA BUTUH PT2NS/PT3,FMK,DBS,150MBPS,METRO
14,APRIL,24/04/2024,CV TRI GANARA,KOT,a. PS,BTO,DBS,50MBPS,PRINGSEWU
15,APRIL,24/04/2024,SMK MAARIF AMBARAWA,PRW,a. PS,BTO,DBS,150 MBPS,PRINGSEWU
16,APRIL,24/04/2024,KEMENTERIAN AGAMA KAB PESAWARAN ,GDT,a. PS,BTO,DGS,50MBPS,PRINGSEWU
17,APRIL,24/04/2024,MANDALA MULTIFINACE ,BKM,a. PS,BTO,DES,50MBPS,PRINGSEWU
18,APRIL,24/04/2024,BALAI PEKON SUKOHARJO 1,PRW,a. PS,BTO,DBS,100MBPS,PRINGSEWU
19,APRIL,24/04/2024,STIE KRAKATAU,GDT,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
1,APRIL,25/04/2024,TOMORO COFFEE TEUKU UMAR,KDT,a. PS,STN,DBS,50MBPS,INNER
2,APRIL,25/04/2024,MANDALA MULTIFINACE,SRW,a. PS,STN,DGS,50MBPS,INNER
1,APRIL,26/04/2024,DAMKAR BALAM,TJK,a. PS,KPU,DGS,50MBPS,INNER
3,APRIL,25/04/2024,PT JAPFA COMFEED INDONESIA TBK,SRW,a. PS,STN,DBS,200 MBPS,INNER
4,APRIL,25/04/2024,Miniso Ruko Antasari/PT Miniso Internasional Compani  ,TJK,a. PS,KPU,DBS,50MBPS,INNER
5,APRIL,25/04/2024,SMA NEGERI 5 BANDAR LAMPUNG,KDT,a. PS,STN,DBS,100MBPS,INNER
6,APRIL,25/04/2024,KLINIK PRAKTEK DOKTER UMUM,SPS,a. PS,KPU,DBS,50MBPS,INNER
1,JULI,24/07/2024,PT CIOMAS - RUMDIN FINANCE,KDT,a. PS,BTO,DGS,100MBPS,INNER
2,APRIL,26/04/2024,MANDALA MULTIFINACE,KLA,a. PS,KPU,DES,50MBPS,INNER
9,APRIL,25/04/2024,29 VAPE STORE,MET,a. PS,GTM,DBS,100MBPS,METRO
10,APRIL,25/04/2024,HOME SPA BABY,MET,a. PS,BTO,DBS,300 MBPS,METRO
11,APRIL,25/04/2024,MANDALA MULTIFINACE,MET,a. PS,GTM,DGS,50MBPS,METRO
12,APRIL,25/04/2024,ASRAMA BOLA KARTIKA,MET,a. PS,BTO,DBS,300 MBPS,METRO
13,APRIL,25/04/2024,TAMAN METRO INDONESIA INDAH - TMII ,MET,a. PS,GTM,DBS,100MBPS,METRO
14,APRIL,25/04/2024,WIDANDA CELL,MET,a. PS,BTO,DBS,50MBPS,METRO
15,APRIL,25/04/2024,PT Sarana Putra Cemerlang ,MET,a. PS,GTM,DBS,50MBPS,METRO
16,APRIL,25/04/2024,KOST AWAN PUTRA,UNT,a. PS,BTO,DBS,100MBPS,METRO
17,APRIL,25/04/2024,Kantor Kementrian Agama Mesuji ,UNT,a. PS,TA,DBS,50MBPS,METRO
18,APRIL,25/04/2024,EDI CHANDRA,BKM,a. PS,BTO,DBS,100MBPS,PRINGSEWU
19,APRIL,25/04/2024,asubbag Keuangan BKPSDM Kab. Lampung Barat,LIW,a. PS,GTM,DBS,300 MBPS,PRINGSEWU
20,APRIL,25/04/2024,MANDALA MULTIFINACE ,LIW,a. PS,GTM,DES,50MBPS,PRINGSEWU
21,APRIL,25/04/2024,MANDALA MULTIFINACE,KBI,a. PS,GTM,DES,50MBPS,PRINGSEWU
22,APRIL,25/04/2024,MANDALA MULTIFINACE,PRW,a. PS,BTO,DES,50MBPS,PRINGSEWU
3,APRIL,26/04/2024,Sumbag Kepegawaian BAPENDA,TKB,a. PS,GTM,DBS,50MBPS,INNER
8,APRIL,26/04/2024,SMA MUHAMMADIYAH PEKALONGAN,MET,a. PS,GTM,DBS,50MBPS,METRO
9,APRIL,26/04/2024,WARUNG SEMBAKO MBAK SRI,MET,a. PS,TA,DBS,100MBPS,METRO
10,APRIL,26/04/2024,PT TUNAS FAJAR MANDIRI ,MGA,a. PS,BTO,DBS,300MBPS,METRO
14,APRIL,26/04/2024,MANDALA MULTIFINACE,KOT,a. PS,BTO,DES,50MBPS,PRINGSEWU
1,APRIL,29/04/2024,PT. Artacomindo Jejaring Nusa_L785-YOS SUDARSO BARU,TJK,a. PS,KPU,DBS,30 MBPS,INNER
1,APRIL,27/04/2024,TOMORO COFFEE - Raden Intan,TJK,a. PS,KPU,DBS,50MBPS,INNER
2,APRIL,30/04/2024,universitas indonesia mandiri  ,SPS,a. PS,KPU,DBS,50MBPS,INNER
3,APRIL,30/04/2024,PT SETIA KARYA TRANSPORT  BANDARJAYA LAMPUNG,BDA,a. PS,BTO,DBS,100 MBPS,METRO
